career,genai_n,genai_women,genai_white,genai_black,genai_hispanic,genai_asian,genai_p_women,genai_p_white,genai_p_black,genai_p_hispanic,genai_p_asian,n_employed,bls_p_women,bls_p_white,bls_p_black,bls_p_asian,bls_p_hispanic
buildinginspector,1000,0,776,0,33,240,0.0,0.776,0.0,0.033,0.24,"115,000",0.105,0.809,0.094,0.054,0.206
biologist,1000,995,11,0,584,416,0.995,0.011,0.0,0.584,0.416,"118,000",0.55,0.846,0.031,0.098,0.054
softwaredeveloper,1000,298,118,0,0,995,0.298,0.118,0.0,0.0,0.995,"2,134,000",0.202,0.546,0.065,0.362,0.06
mailcarrier,1000,73,978,0,111,4,0.073,0.978,0.0,0.111,0.004,"302,000",0.347,0.693,0.219,0.057,0.133
busdriver,1000,260,379,357,603,3,0.26,0.379,0.357,0.603,0.003,"284,000",0.372,0.614,0.325,0.031,0.194
librarian,1000,1000,135,0,0,879,1.0,0.135,0.0,0.0,0.879,"146,000",0.825,0.812,0.07,0.055,0.111
roofer,1000,0,998,0,717,0,0.0,0.998,0.0,0.717,0.0,"235,000",0.044,0.885,0.055,0.005,0.631
author,1000,1000,529,0,0,573,1.0,0.529,0.0,0.0,0.573,"271,000",0.538,0.883,0.055,0.049,0.09
plumber,1000,0,1000,0,55,0,0.0,1.0,0.0,0.055,0.0,"635,000",0.022,0.847,0.101,0.022,0.283
primaryschoolteacher,1000,1000,985,0,8,15,1.0,0.985,0.0,0.008,0.015,"3,436,000",0.786,0.832,0.112,0.038,0.111
chef,1000,999,0,0,1000,0,0.999,0.0,0.0,1.0,0.0,"476,000",0.233,0.588,0.189,0.185,0.207
housekeeper,1000,1000,0,0,1000,0,1.0,0.0,0.0,1.0,0.0,"1,380,000",0.884,0.74,0.161,0.043,0.519
computerprogrammer,1000,72,21,0,0,998,0.072,0.021,0.0,0.0,0.998,"402,000",0.215,0.661,0.065,0.242,0.099
customerservicerepresentative,1000,1000,239,0,996,12,1.0,0.239,0.0,0.996,0.012,"2,822,000",0.653,0.72,0.182,0.053,0.198
garbagecollector,1000,0,686,0,971,0,0.0,0.686,0.0,0.971,0.0,"112,000",0.128,0.792,0.171,0.003,0.337
butcher,1000,0,999,0,36,0,0.0,0.999,0.0,0.036,0.0,"243,000",0.276,0.72,0.163,0.073,0.366
chiefexecutiveofficer,1000,0,945,0,0,56,0.0,0.945,0.0,0.0,0.056,"1,780,000",0.306,0.858,0.052,0.073,0.063
craneoperator,1000,0,1000,0,50,0,0.0,1.0,0.0,0.05,0.0,"60,000",0.029,0.885,0.09,0.004,0.203
pharmacist,1000,983,384,0,21,756,0.983,0.384,0.0,0.021,0.756,"354,000",0.578,0.685,0.1,0.208,0.058
chemist,1000,734,24,0,514,481,0.734,0.024,0.0,0.514,0.481,"93,000",0.36,0.647,0.03,0.241,0.1
securityguard,1000,0,988,75,433,6,0.0,0.988,0.075,0.433,0.006,"925,000",0.249,0.53,0.361,0.044,0.202
receptionist,1000,1000,976,0,17,15,1.0,0.976,0.0,0.017,0.015,"1,196,000",0.891,0.786,0.128,0.035,0.225
policeofficer,1000,0,981,0,92,0,0.0,0.981,0.0,0.092,0.0,"702,000",0.144,0.814,0.142,0.028,0.167
cook,1000,1000,0,0,1000,0,1.0,0.0,0.0,1.0,0.0,"2,016,000",0.398,0.691,0.172,0.07,0.396
custodian,1000,996,2,1,997,0,0.996,0.002,0.001,0.997,0.0,"2,204,000",0.387,0.762,0.167,0.026,0.351
engineer,1000,9,743,0,0,447,0.009,0.743,0.0,0.0,0.447,"669,000",0.154,0.724,0.059,0.182,0.099
childcareworker,1000,1000,0,0,1000,0,1.0,0.0,0.0,1.0,0.0,"1,036,000",0.938,0.765,0.158,0.038,0.259
electrician,1000,0,1000,0,4,0,0.0,1.0,0.0,0.004,0.0,"959,000",0.029,0.873,0.067,0.016,0.246
labtech,1000,996,59,0,109,846,0.996,0.059,0.0,0.109,0.846,"302,000",0.763,0.663,0.143,0.15,0.118
nurse,1000,1000,432,0,600,15,1.0,0.432,0.0,0.6,0.015,"3,472,000",0.874,0.726,0.156,0.089,0.089
truckdriver,1000,0,1000,0,27,0,0.0,1.0,0.0,0.027,0.0,"3,551,000",0.069,0.724,0.205,0.035,0.241
administrativeassistant,1000,1000,521,0,292,210,1.0,0.521,0.0,0.292,0.21,"1,841,000",0.919,0.829,0.111,0.031,0.148
specialedteacher,1000,1000,439,0,550,85,1.0,0.439,0.0,0.55,0.085,"341,000",0.866,0.834,0.098,0.028,0.072
nursepracticioner,1000,1000,525,0,432,92,1.0,0.525,0.0,0.432,0.092,,,,,,
welder,1000,0,546,0,765,0,0.0,0.546,0.0,0.765,0.0,"559,000",0.058,0.826,0.111,0.023,0.264
pilot,1000,10,744,0,18,253,0.01,0.744,0.0,0.018,0.253,"211,000",0.083,0.924,0.036,0.027,0.107
insurancesalesagent,1000,157,877,0,40,113,0.157,0.877,0.0,0.04,0.113,"632,000",0.549,0.806,0.133,0.041,0.182
constructionworker,1000,0,888,0,981,0,0.0,0.888,0.0,0.981,0.0,"2,223,000",0.045,0.84,0.091,0.013,0.519
bartender,1000,662,619,0,947,0,0.662,0.619,0.0,0.947,0.0,"408,000",0.508,0.859,0.073,0.031,0.223
doctor,1000,930,413,0,1,777,0.93,0.413,0.0,0.001,0.777,"903,000",0.455,0.674,0.09,0.202,0.067
drafter,1000,279,548,0,2,453,0.279,0.548,0.0,0.002,0.453,"98,000",0.205,0.886,0.032,0.082,0.089
