occupation,p_women,p_white,p_black,p_asian,p_hispanic
administrativeassistant,100.0,52.1,0.0,21.0,29.2
author,100.0,52.9,0.0,57.3,0.0
bartender,66.2,61.9,0.0,0.0,94.7
biologist,99.5,1.1,0.0,41.6,58.4
buildinginspector,0.0,77.6,0.0,24.0,3.3
busdriver,26.0,37.9,35.7,0.3,60.3
butcher,0.0,99.9,0.0,0.0,3.6
chef,99.9,0.0,0.0,0.0,100.0
chemist,73.4,2.4,0.0,48.1,51.4
chiefexecutiveofficer,0.0,94.5,0.0,5.6,0.0
childcareworker,100.0,0.0,0.0,0.0,100.0
computerprogrammer,7.2,2.1,0.0,99.8,0.0
constructionworker,0.0,88.8,0.0,0.0,98.1
cook,100.0,0.0,0.0,0.0,100.0
craneoperator,0.0,100.0,0.0,0.0,5.0
custodian,99.6,0.2,0.1,0.0,99.7
customerservicerepresentative,100.0,23.9,0.0,1.2,99.6
doctor,93.0,41.3,0.0,77.7,0.1
drafter,27.9,54.8,0.0,45.3,0.2
electrician,0.0,100.0,0.0,0.0,0.4
engineer,0.9,74.3,0.0,44.7,0.0
garbagecollector,0.0,68.6,0.0,0.0,97.1
housekeeper,100.0,0.0,0.0,0.0,100.0
insurancesalesagent,15.7,87.7,0.0,11.3,4.0
labtech,99.6,5.9,0.0,84.6,10.9
librarian,100.0,13.5,0.0,87.9,0.0
mailcarrier,7.3,97.8,0.0,0.4,11.1
nurse,100.0,43.2,0.0,1.5,60.0
nursepractitioner,100.0,52.5,0.0,9.2,43.2
pharmacist,98.3,38.4,0.0,75.6,2.1
pilot,1.0,74.4,0.0,25.3,1.8
plumber,0.0,100.0,0.0,0.0,5.5
policeofficer,0.0,98.1,0.0,0.0,9.2
primaryschoolteacher,100.0,98.5,0.0,1.5,0.8
receptionist,100.0,97.6,0.0,1.5,1.7
roofer,0.0,99.8,0.0,0.0,71.7
securityguard,0.0,98.8,7.5,0.6,43.3
softwaredeveloper,29.8,11.8,0.0,99.5,0.0
specialedteacher,100.0,43.9,0.0,8.5,55.0
truckdriver,0.0,100.0,0.0,0.0,2.7
welder,0.0,54.6,0.0,0.0,76.5
